discovered_at,platform,source,event_id,event_slug,event_title,market_id,market_slug,question,event_type,active,closed,accepting_orders,end_date,volume,volume_24hr,liquidity,open_interest,best_bid,best_ask,last_trade_price,outcome_prices,outcomes,url,matched_keywords,notes
2026-06-11T07:51:17+00:00,polymarket,gamma_events,30615,world-cup-winner,World Cup Winner ,558978,will-curaao-win-the-2026-fifa-world-cup,Will Curaçao win the 2026 FIFA World Cup?,champion_or_outright,True,False,True,2026-07-20T00:00:00Z,41633753.67691622,198550.0,16854949.64272,29429961.422996998,,0.001,0.001,"[""0.0005"", ""0.9995""]","[""Yes"", ""No""]",https://polymarket.com/event/world-cup-winner,2026;fifa;world cup,
2026-06-11T07:51:17+00:00,polymarket,gamma_events,30615,world-cup-winner,World Cup Winner ,558938,will-argentina-win-the-2026-fifa-world-cup-245,Will Argentina win the 2026 FIFA World Cup?,champion_or_outright,True,False,True,2026-07-20T00:00:00Z,34711266.96706603,2750308.380779998,1071934.9377,29429961.422996998,0.093,0.094,0.094,"[""0.0935"", ""0.9065""]","[""Yes"", ""No""]",https://polymarket.com/event/world-cup-winner,2026;argentina;fifa;world cup,
2026-06-11T07:51:17+00:00,polymarket,gamma_events,30615,world-cup-winner,World Cup Winner ,558939,will-germany-win-the-2026-fifa-world-cup-467,Will Germany win the 2026 FIFA World Cup?,champion_or_outright,True,False,True,2026-07-20T00:00:00Z,36124882.67501549,2247324.5456869975,2191048.25867,29429961.422996998,0.052,0.053,0.052,"[""0.0525"", ""0.9475""]","[""Yes"", ""No""]",https://polymarket.com/event/world-cup-winner,2026;fifa;germany;world cup,
2026-06-11T07:51:17+00:00,polymarket,gamma_events,30615,world-cup-winner,World Cup Winner ,558947,will-colombia-win-the-2026-fifa-world-cup-734,Will Colombia win the 2026 FIFA World Cup?,champion_or_outright,True,False,True,2026-07-20T00:00:00Z,40147404.19483591,3432435.730541008,4139747.00909,29429961.422996998,0.018,0.019,0.018,"[""0.0185"", ""0.9815""]","[""Yes"", ""No""]",https://polymarket.com/event/world-cup-winner,2026;colombia;fifa;world cup,
2026-06-11T07:51:17+00:00,polymarket,gamma_events,30615,world-cup-winner,World Cup Winner ,558959,will-iran-win-the-2026-fifa-world-cup-788,Will Iran win the 2026 FIFA World Cup?,champion_or_outright,True,False,True,2026-07-20T00:00:00Z,44466185.245790005,2602157.2650000053,10612085.69159,29429961.422996998,0.001,0.002,0.001,"[""0.0015"", ""0.9985""]","[""Yes"", ""No""]",https://polymarket.com/event/world-cup-winner,2026;fifa;iran;world cup,
2026-06-11T07:51:17+00:00,polymarket,gamma_events,30615,world-cup-winner,World Cup Winner ,558940,will-portugal-win-the-2026-fifa-world-cup-912,Will Portugal win the 2026 FIFA World Cup?,champion_or_outright,True,False,True,2026-07-20T00:00:00Z,39102824.17956836,2552776.606477994,544043.55094,29429961.422996998,0.109,0.11,0.11,"[""0.1095"", ""0.8905""]","[""Yes"", ""No""]",https://polymarket.com/event/world-cup-winner,2026;fifa;portugal;world cup,
2026-06-11T07:51:17+00:00,polymarket,gamma_events,30615,world-cup-winner,World Cup Winner ,558967,will-ghana-win-the-2026-fifa-world-cup,Will Ghana win the 2026 FIFA World Cup?,champion_or_outright,True,False,True,2026-07-20T00:00:00Z,36825237.05044175,1897884.814,15436220.48894,29429961.422996998,0.001,0.002,0.001,"[""0.0015"", ""0.9985""]","[""Yes"", ""No""]",https://polymarket.com/event/world-cup-winner,2026;fifa;ghana;world cup,
2026-06-11T07:51:17+00:00,polymarket,gamma_events,30615,world-cup-winner,World Cup Winner ,558941,will-netherlands-win-the-2026-fifa-world-cup-739,Will Netherlands win the 2026 FIFA World Cup?,champion_or_outright,True,False,True,2026-07-20T00:00:00Z,38401986.47048091,3321157.987549017,2306984.51785,29429961.422996998,0.04,0.041,0.041,"[""0.0405"", ""0.9595""]","[""Yes"", ""No""]",https://polymarket.com/event/world-cup-winner,2026;fifa;netherlands;world cup,
2026-06-11T07:51:17+00:00,polymarket,gamma_events,30615,world-cup-winner,World Cup Winner ,558969,will-algeria-win-the-2026-fifa-world-cup,Will Algeria win the 2026 FIFA World Cup?,champion_or_outright,True,False,True,2026-07-20T00:00:00Z,44582025.71421553,3976389.63,8990505.35838,29429961.422996998,0.001,0.002,0.002,"[""0.0015"", ""0.9985""]","[""Yes"", ""No""]",https://polymarket.com/event/world-cup-winner,2026;algeria;fifa;world cup,
2026-06-11T07:51:17+00:00,polymarket,gamma_events,30615,world-cup-winner,World Cup Winner ,558983,will-bosnia-herzegovina-win-the-2026-fifa-world-cup,Will Bosnia-Herzegovina win the 2026 FIFA World Cup?,champion_or_outright,True,False,True,2026-07-20T00:00:00Z,27812772.7327179,3691921.906000005,13826932.12419,29429961.422996998,0.001,0.002,0.001,"[""0.0015"", ""0.9985""]","[""Yes"", ""No""]",https://polymarket.com/event/world-cup-winner,2026;bosnia;fifa;world cup,
